Expire Event: Point=(181, 421), Addr=185, PN=1, Time=1951, DT=100
Expire Event: Point=(330, 367), Addr=213, PN=6, Time=1966, DT=100
Expire Event: Point=(325, 369), Addr=148, PN=4, Time=1968, DT=100
Expire Event: Point=(323, 370), Addr=136, PN=1, Time=1969, DT=100
Expire Event: Point=(307, 376), Addr=221, PN=8, Time=1976, DT=100
Expire Event: Point=(286, 383), Addr=238, PN=1, Time=1978, DT=100
Expire Event: Point=(185, 420), Addr=179, PN=1, Time=1979, DT=100
Expire Event: Point=(328, 368), Addr=94, PN=6, Time=1995, DT=100
Expire Event: Point=(326, 369), Addr=9, PN=1, Time=1996, DT=100
Expire Event: Point=(315, 373), Addr=95, PN=4, Time=1999, DT=100
Expire Event: Point=(310, 375), Addr=58, PN=3, Time=2000, DT=100
Expire Event: Point=(306, 376), Addr=128, PN=1, Time=2004, DT=100
Expire Event: Point=(304, 377), Addr=3, PN=6, Time=2005, DT=100
Expire Event: Point=(182, 422), Addr=181, PN=1, Time=2006, DT=100
Expire Event: Point=(188, 420), Addr=158, PN=1, Time=2007, DT=100
Expire Event: Point=(334, 366), Addr=109, PN=7, Time=2021, DT=100
Expire Event: Point=(332, 367), Addr=121, PN=4, Time=2022, DT=100
Expire Event: Point=(330, 368), Addr=84, PN=2, Time=2023, DT=100
Expire Event: Point=(286, 384), Addr=61, PN=1, Time=2035, DT=100
Expire Event: Point=(191, 420), Addr=130, PN=1, Time=2036, DT=100
Expire Event: Point=(0, 493), Addr=15, PN=1, Time=2039, DT=100
Expire Event: Point=(339, 364), Addr=211, PN=2, Time=2045, DT=100
Expire Event: Point=(337, 365), Addr=228, PN=8, Time=2047, DT=100
Expire Event: Point=(319, 372), Addr=193, PN=4, Time=2055, DT=100
Expire Event: Point=(307, 377), Addr=83, PN=6, Time=2059, DT=100
Expire Event: Point=(304, 378), Addr=25, PN=3, Time=2060, DT=100
Expire Event: Point=(303, 378), Addr=131, PN=2, Time=2062, DT=100
Expire Event: Point=(194, 420), Addr=216, PN=1, Time=2063, DT=100
Expire Event: Point=(333, 367), Addr=169, PN=2, Time=2075, DT=100
Expire Event: Point=(328, 369), Addr=160, PN=3, Time=2077, DT=100
Expire Event: Point=(320, 372), Addr=179, PN=1, Time=2080, DT=100
Expire Event: Point=(315, 374), Addr=106, PN=3, Time=2081, DT=100
Expire Event: Point=(310, 376), Addr=196, PN=3, Time=2082, DT=100
Expire Event: Point=(198, 420), Addr=163, PN=1, Time=2088, DT=100
Expire Event: Point=(197, 420), Addr=200, PN=1, Time=2089, DT=100
Expire Event: Point=(116, 452), Addr=38, PN=1, Time=2090, DT=100
Expire Event: Point=(24, 488), Addr=42, PN=1, Time=2093, DT=100
Expire Event: Point=(25, 488), Addr=139, PN=1, Time=2094, DT=100
Expire Event: Point=(357, 358), Addr=224, PN=20, Time=2098, DT=100
Expire Event: Point=(338, 365), Addr=154, PN=6, Time=2100, DT=100
Expire Event: Point=(323, 371), Addr=199, PN=5, Time=2108, DT=100
Expire Event: Point=(316, 374), Addr=143, PN=1, Time=2110, DT=100
Expire Event: Point=(311, 376), Addr=20, PN=1, Time=2111, DT=100
Expire Event: Point=(305, 378), Addr=213, PN=2, Time=2114, DT=100
Expire Event: Point=(303, 379), Addr=30, PN=4, Time=2116, DT=100
Expire Event: Point=(286, 386), Addr=69, PN=2, Time=2118, DT=100
Expire Event: Point=(115, 454), Addr=238, PN=1, Time=2119, DT=100
Expire Event: Point=(8, 497), Addr=3, PN=1, Time=2121, DT=100
Expire Event: Point=(331, 368), Addr=78, PN=4, Time=2132, DT=100
Expire Event: Point=(329, 369), Addr=253, PN=2, Time=2133, DT=100
Expire Event: Point=(326, 370), Addr=210, PN=5, Time=2134, DT=100
Expire Event: Point=(307, 378), Addr=120, PN=6, Time=2140, DT=100
Expire Event: Point=(202, 420), Addr=235, PN=1, Time=2144, DT=100
Expire Event: Point=(203, 420), Addr=144, PN=1, Time=2145, DT=100
Expire Event: Point=(339, 365), Addr=41, PN=2, Time=2155, DT=100
Expire Event: Point=(336, 366), Addr=251, PN=8, Time=2157, DT=100
Expire Event: Point=(334, 367), Addr=102, PN=5, Time=2158, DT=100
Expire Event: Point=(303, 380), Addr=183, PN=4, Time=2171, DT=100
Expire Event: Point=(206, 420), Addr=33, PN=1, Time=2173, DT=100
Expire Event: Point=(337, 366), Addr=190, PN=5, Time=2184, DT=100
Expire Event: Point=(323, 372), Addr=26, PN=3, Time=2191, DT=100
Expire Event: Point=(320, 373), Addr=111, PN=4, Time=2192, DT=100
Expire Event: Point=(305, 379), Addr=129, PN=3, Time=2197, DT=100
Expire Event: Point=(208, 420), Addr=194, PN=1, Time=2200, DT=100
Expire Event: Point=(286, 387), Addr=131, PN=1, Time=2201, DT=100
Expire Event: Point=(3, 506), Addr=32, PN=1, Time=2204, DT=100
Expire Event: Point=(340, 365), Addr=101, PN=6, Time=2210, DT=100
Expire Event: Point=(335, 367), Addr=228, PN=2, Time=2214, DT=100
Expire Event: Point=(326, 371), Addr=211, PN=3, Time=2218, DT=100
Expire Event: Point=(316, 375), Addr=67, PN=4, Time=2221, DT=100
Expire Event: Point=(311, 377), Addr=64, PN=4, Time=2222, DT=100
Expire Event: Point=(307, 379), Addr=44, PN=6, Time=2224, DT=100
