Expire Event: Point=(83, 424), Addr=85, PN=1, Time=1412, DT=100, HashLoad=29/256, TableLoads=[7, 9, 7, 6]
Expire Event: Point=(91, 422), Addr=127, PN=1, Time=1414, DT=100, HashLoad=28/256, TableLoads=[7, 9, 7, 5]
Expire Event: Point=(357, 357), Addr=57, PN=20, Time=1424, DT=100, HashLoad=27/256, TableLoads=[7, 8, 7, 5]
Expire Event: Point=(333, 363), Addr=229, PN=5, Time=1429, DT=100, HashLoad=27/256, TableLoads=[7, 8, 7, 5]
Expire Event: Point=(329, 364), Addr=208, PN=6, Time=1431, DT=100, HashLoad=26/256, TableLoads=[6, 8, 7, 5]
Expire Event: Point=(317, 367), Addr=148, PN=5, Time=1435, DT=100, HashLoad=26/256, TableLoads=[5, 8, 8, 5]
Expire Event: Point=(312, 369), Addr=144, PN=1, Time=1436, DT=100, HashLoad=26/256, TableLoads=[5, 8, 8, 5]
Expire Event: Point=(286, 375), Addr=141, PN=1, Time=1443, DT=100, HashLoad=26/256, TableLoads=[5, 8, 8, 5]
Expire Event: Point=(100, 422), Addr=10, PN=1, Time=1445, DT=100, HashLoad=25/256, TableLoads=[5, 8, 7, 5]
Expire Event: Point=(307, 370), Addr=149, PN=10, Time=1471, DT=100, HashLoad=31/256, TableLoads=[6, 9, 9, 7]
Expire Event: Point=(287, 375), Addr=66, PN=3, Time=1476, DT=100, HashLoad=30/256, TableLoads=[6, 9, 8, 7]
Expire Event: Point=(107, 422), Addr=212, PN=1, Time=1477, DT=100, HashLoad=29/256, TableLoads=[5, 9, 8, 7]
Expire Event: Point=(327, 365), Addr=230, PN=3, Time=1494, DT=100, HashLoad=31/256, TableLoads=[5, 11, 8, 7]
Expire Event: Point=(303, 371), Addr=83, PN=9, Time=1503, DT=100, HashLoad=34/256, TableLoads=[6, 11, 10, 7]
Expire Event: Point=(335, 363), Addr=5, PN=4, Time=1521, DT=100, HashLoad=33/256, TableLoads=[6, 10, 10, 7]
